1;0;0;0;0;0;0;0;0;
0;1;0;0;0;0;0;0;0;
0;0;1;0;0;0;0;0;0;
0;0;0;1;0;0;0;0;0;
-5.111111111111107163651467999443411827087;19.11111111111109650551043159794062376022;0;19.11111111111109650551043159794062376022;87.11111111111105742565996479243040084839;0.2193877551020407823401114910666365176439;0;0.2193877551020407823401114910666365176439;-0.05867346938775509085362003247610118705779;
0;0;0;0;0;1;0;0;0;
0;0;0;0;0;0;1;0;0;
0;0;0;0;0;0;0;1;0;
0;0;0;0;0;0;0;0;1;

2;4;6;4;1206.222222222221489573712460696697235107;12;6;12;18;
